Timestamp,Angle,Buzzer
44532,90,OFF
44653,85,OFF
44775,85,OFF
44896,85,OFF
45017,90,OFF
45138,85,OFF
45259,85,OFF
45380,85,OFF
45502,85,OFF
45623,90,OFF
45744,85,OFF
45865,81,OFF
45986,90,OFF
46107,85,OFF
46229,85,OFF
46350,85,OFF
46471,90,OFF
46592,85,OFF
46713,85,OFF
46834,85,OFF
46955,85,OFF
47077,90,OFF
47198,90,OFF
47319,85,OFF
47440,90,OFF
47561,90,OFF
47682,85,OFF
47804,85,OFF
47925,85,OFF
48046,90,OFF
48167,85,OFF
48288,81,OFF
48409,85,OFF
48531,90,OFF
48652,81,OFF
48773,90,OFF
48893,85,OFF
49015,90,OFF
49136,85,OFF
49257,90,OFF
49379,85,OFF
49500,90,OFF
49620,90,OFF
49742,90,OFF
49863,85,OFF
49984,85,OFF
50106,85,OFF
50227,85,OFF
50348,90,OFF
50469,85,OFF
50590,85,OFF
50711,85,OFF
50833,81,OFF
50954,85,OFF
51075,85,OFF
51196,85,OFF
51317,85,OFF
51438,85,OFF
51559,90,OFF
51681,85,OFF
51802,85,OFF
51923,85,OFF
52044,85,OFF
52165,85,OFF
52286,90,OFF
52408,90,OFF
52529,90,OFF
52649,85,OFF
52771,85,OFF
52892,85,OFF
53013,85,OFF
53135,85,OFF
53256,90,OFF
53377,85,OFF
53497,90,OFF
53619,85,OFF
53740,85,OFF
53862,85,OFF
53983,85,OFF
54104,90,OFF
54224,85,OFF
54346,85,OFF
54467,85,OFF
54588,85,OFF
54710,85,OFF
54831,85,OFF
54951,81,OFF
55073,85,OFF
55194,90,OFF
55315,85,OFF
55437,90,OFF
55558,90,OFF
55678,85,OFF
55800,85,OFF
55921,85,OFF
56042,85,OFF
56163,90,OFF
56285,85,OFF
56406,90,OFF
56526,90,OFF
56648,85,OFF
56769,85,OFF
56890,85,OFF
57012,85,OFF
57133,85,OFF
57253,85,OFF
57375,85,OFF
57496,85,OFF
57617,85,OFF
57739,85,OFF
57860,85,OFF
57980,90,OFF
58102,85,OFF
58223,81,OFF
58344,85,OFF
58466,85,OFF
58587,85,OFF
58707,85,OFF
58829,85,OFF
58950,85,OFF
59071,85,OFF
59193,81,OFF
59314,85,OFF
59435,90,OFF
59555,90,OFF
59677,85,OFF
